station,cluster,lat,lon
Château de Vincennes,0,48.84431751431355,2.440540095406114
Bérault,0,48.84549169626708,2.4292278831660283
George V,0,48.87203776458909,2.300759784978918
Franklin D. Roosevelt,0,48.8691648256349,2.309359666519628
Boulogne Jean Jaurès,0,48.841991575324506,2.239077780728926
Boulogne Pont de Saint-Cloud,0,48.84067248206251,2.2283125898228056
Gare d'Austerlitz,0,48.84228236697996,2.364395394600644
Jussieu,0,48.84596333903808,2.354798309820857
Michel-Ange - Molitor,0,48.84515597018703,2.2618218573220084
Michel-Ange - Auteuil,0,48.84797535417627,2.263989525333329
Romainville-Carnot,0,48.88357423792701,2.440677444590172
Montreuil - Hôpital,0,48.878269829247664,2.4546692358364623
La Dhuys,0,48.8780111916913,2.465116181953647
Madeleine,0,48.87003294090397,2.325169929034193
Saint-Lazare,0,48.875594817796994,2.327470237303278
Aimé Césaire,2,48.90843758066954,2.37813084516706
Mairie d'Aubervilliers,2,48.913739225808136,2.3807826993163266
Brochant,0,48.89062201554889,2.3201902468999456
La Fourche,0,48.88742451051807,2.325686960766736
Les Agnettes,0,48.92308777796361,2.286263202479002
Asnières - Gennevilliers Les Courtilles,0,48.93060364140038,2.284372100658843
Basilique de Saint-Denis,0,48.93678306532419,2.3592958408126816
Saint-Denis - Université,0,48.945911458883856,2.364494290510317
Pyramides,0,48.86588028991413,2.334417535966556
Saint-Ouen,0,48.90516956991565,2.3227559546697414
Mairie de Saint-Ouen,0,48.91164217552501,2.333545807213269
Porte de Clichy,0,48.89443128801746,2.31320835075881
L'Haÿ-les-Roses,0,48.77532646395088,2.354991210566311
Hôpital Bicêtre,0,48.809971090725966,2.349946533239157
Maison Blanche,0,48.82214950607496,2.358412946155939
Colonel Fabien,0,48.877695345805535,2.370576102819657
Jaurès,0,48.88159683079925,2.370269867509251
Porte Dauphine,1,48.87139679524832,2.277632717545272
Victor Hugo,1,48.8698545716049,2.2859020006220643
Belleville,0,48.87231407736167,2.3768306915222848
Couronnes,0,48.86932051914457,2.3805336747351005
Louise Michel,0,48.88853900119613,2.2882778490679767
Anatole France,0,48.892206617614,2.28498169634032
Saint-Fargeau,0,48.87184337222297,2.4044981831688688
Pelleport,0,48.86842046799948,2.40160636134298
Gambetta,0,48.86497267606974,2.3973588775666475
Gare de l'Est,0,48.87627821831841,2.3577495818204395
Gare du Nord,0,48.87968001223662,2.357342884924845
Porte d'Orléans,0,48.82339460262072,2.325623760353114
Alésia,0,48.82815215770352,2.3271926250651647
Bagneux - Lucie Aubrac,0,48.80354822259104,2.317458362049886
Barbara,0,48.80979025430712,2.3174992240284045
Saint-Germain-des-Prés,0,48.85367371343323,2.333987429134225
Saint-Sulpice,0,48.85113858957915,2.330953550650454
Eglise de Pantin,0,48.893163974098265,2.413119553706935
Bobigny-Pantin - Raymond Queneau,0,48.89560207433252,2.426308679232036
Jacques Bonsergent,0,48.87066646803471,2.3611315892483544
Trocadéro,0,48.86346147371448,2.287625377853519
Passy,0,48.85751508962033,2.285839418881462
Palais Royal - Musée du Louvre,0,48.86268399776967,2.337007354765684
Villejuif Paul Vaillant-Couturier,0,48.79631793416014,2.3683316015776423
Villejuif - Louis Aragon,0,48.78753717099888,2.36783901176962
Corentin Cariou,0,48.89467266005628,2.382291557164633
Crimée,0,48.890814345621656,2.3770380600019925
La Courneuve - 8 Mai 1945,0,48.92024579662936,2.4102214036405085
Fort d'Aubervilliers,0,48.91475665506255,2.404075377271855
Porte de Choisy,0,48.82005592914816,2.3646785940494577
Porte d'Ivry,0,48.82135298833688,2.369294978223312
Danube,0,48.88194921492064,2.393228471227492
Pré-Saint-Gervais,0,48.8801595806643,2.398580770693528
Boucicaut,0,48.841024160993214,2.2879184311245595
Félix Faure,0,48.84268433479664,2.2918472203679703
Lourmel,0,48.83866086365992,2.2822419598550767
Ecole Vétérinaire de Maisons-Alfort,0,48.814758684006726,2.422322751702586
Charenton - Ecoles,0,48.82125590204953,2.413847237068526
Maisons-Alfort - Stade,0,48.80891847848263,2.434819533389365
Faidherbe - Chaligny,0,48.85020070550927,2.384072471688875
Ledru-Rollin,0,48.85133776679838,2.376141223318593
Invalides,0,48.86053445554123,2.3146399951225347
La Tour-Maubourg,0,48.85766922956403,2.310588789873988
Maisons-Alfort - Les Juilliottes,0,48.80310585036659,2.4457883063759605
Porte Dorée,0,48.8350662204656,2.405749381400099
Porte de Charenton,0,48.83344922287947,2.402511872850073
Filles du Calvaire,0,48.86308830188695,2.366826859795412
Saint-Sébastien - Froissart,0,48.86098670797991,2.367370357789606
Grands Boulevards,0,48.87146677844407,2.342839648636545
Richelieu - Drouot,0,48.87173920910264,2.3384190255427955
Opéra,0,48.87150983278418,2.331128974301561
Créteil - Préfecture,0,48.77975652677895,2.459305169291261
Pointe du Lac,0,48.76876136434425,2.464317312722042
Créteil - L'Echat,0,48.79661108096057,2.449424047013373
Créteil - Université,0,48.78994285432577,2.4505697455342568
Chaussée d'Antin - La Fayette,0,48.87313420577469,2.333738594408701
Havre-Caumartin,0,48.87346783937801,2.327462798423509
Croix de Chavaux,0,48.857992585158016,2.4358546126745826
Robespierre,0,48.85567380855032,2.422973086496352
